;;;;;;;;;;;;;;;;
;;;;;;;;evento que causou as avarias;;idade da pessoaa que morreu, no caso de 1 fatalidade;;;;;;
;estado;cidade;area_da_industria;area_especifica;cod_CNAE;processo;processo_especifico;evento;evento_especifico;idade*;vitimas;fatalidades;grau;mês;ano;url
;SC;Guabiruba;Têxtil;Tecido;C13;Produção;Produção de tecido;Aprisionamento em máquina;preso em uma máquina de tear;33;1;1;4;7;2021;https://g1.globo.com/sc/santa-catarina/noticia/2021/07/05/trabalhador-de-industria-textil-morre-apos-ficar-preso-em-maquina-de-tear-em-sc.ghtml
;SP;Rio Claro;Química;NaN;C20;Produção;NaN;Explosão;Explosão e rompimento de um tanque de ácido sulfúrico;NaN;2;0;3;1;2022;https://g1.globo.com/sp/sao-carlos-regiao/noticia/2022/01/19/explosao-em-tanque-de-acido-de-empresa-deixa-2-funcionarios-feridos-em-rio-claro.ghtml
;SP;Marília;Alimentos;Amendoim;C10;NaN;NaN;Incêndio;Incêndio atinge máquina de processar amendoim;NaN;0;0;4;2;2021;https://g1.globo.com/sp/bauru-marilia/noticia/2021/02/23/incendio-atinge-maquina-de-processar-amendoim-de-industria-em-marilia.ghtml
;SP;Cravinhos;Reciclagem;Pneus;E38;NaN;NaN;Incêndio;Fogo começou em uma das máquinas da empresa;NaN;0;0;4;1;2022;https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2022/01/14/incendio-atinge-industria-em-cravinhos-sp.ghtml
;MG;Uberlândia;Reciclagem;NaN;E38;Produção;NaN;Queda de objeto;Um fardo de 500kg caiu;41;1;1;4;12;2020;https://g1.globo.com/mg/triangulo-mineiro/noticia/2020/12/02/acidente-de-trabalho-e-registrado-no-distrito-industrial-em-uberlandia.ghtml
;PR;Arapongas;Química;Tintas;C20;Produção;NaN;Explosão;Explosão de caldeira;NaN;4;1;4;12;2020;https://g1.globo.com/pr/norte-noroeste/noticia/2020/12/24/explosao-em-caldeira-deixa-um-trabalhador-morto-e-tres-feridos-em-industria-de-tintas-em-arapongas.ghtml
;PE;Recife;Plásticos;Embalagens;C22;Produção;NaN;Queda;caiu de uma laje de três metros de altura;60;1;1;4;11;2021;https://g1.globo.com/pe/pernambuco/noticia/2021/11/10/operario-morre-ao-cair-de-laje-de-tres-metros-de-altura-em-fabrica-na-zona-industrial-de-suape.ghtml
;TO;Araguaína;Alimentos;Gelatina;C10;Armazenamento;manuseando um compartimento cheio de couro;Queda de objeto;Queda de fardo pesado em cima da vítima;NaN;1;1;4;6;2021;https://g1.globo.com/to/tocantins/noticia/2021/06/25/araguaina-registra-mais-de-40-acidentes-de-trabalho-no-primeiro-semestre-de-2021.ghtml
;SP;São Paulo;Química;Geral;C20;Limpeza;limpeza de fosso industrial;Queda;Os funcionários caíram dentro do fosso;NaN;3;1;4;1;2020;https://g1.globo.com/sp/sao-paulo/noticia/2020/01/25/acidente-em-fosso-de-rejeitos-industriais-deixa-1-morto-e-2-feridos-em-osasco-na-grande-sp.ghtml
;CE;Trairi;Alimentos;Água de coco;C10;Armazenamento;Armazenamento das palhas de coco;Incêndio;Incêndio onde estavam estocadas as palhas de coco;;0;0;2;12;2021;https://g1.globo.com/ce/ceara/noticia/2021/12/16/incendio-atinge-industria-de-producao-de-agua-de-coco-em-trairi-no-ceara.ghtml
